id;title;description;author;publisher;isbn;publication_date;source
1;experiences;calculating transition connecting;Rubber;lime Yemen;6574;2020-06-09;Donated
2;Engineer;4th generation Legacy;utilisation white;indigo;13972;2020-06-10;Purchased
3;Mobility strategy mission-critical;Savings Account hybrid;Argentine Peso;Switzerland Games fuchsia;88340;2020-06-09;Donated
4;Quality;Facilitator system-worthy Dong;Synchronised Chair Kids;Buckinghamshire Data Accounts;71635;2020-06-09;Purchased
5;SAS;Bahraini Dinar Direct channels;Home;connecting JSON;51597;2020-06-09;Donated
6;bypassing;Seamless monetize;Concrete virtual;Cambridgeshire;45007;2020-06-09;Purchased
7;Dynamic protocol Burgs;Chief haptic;flexibility;Sierra Leone Metal;36288;2020-06-10;Purchased
8;Unbranded;human-resource whiteboard Electronics;invoice Lakes Director;sensor;94622;2020-06-10;Purchased
9;Developer Quality;panel migration Garden;Rustic;SQL Communications Future;7167;2020-06-10;Donated
10;Kina Wyoming fuchsia;eyeballs;Timor-Leste;SQL;35922;2020-06-09;Donated
